accountsservice 23.13.9-2
acpi 1.7-4
aimp 5.30.2563-1
alacritty 0.14.0-1
alsa-firmware 1.2.4-4
alsa-plugins 1:1.2.12-4
alsa-utils 1.2.12-1
amberol 2024.2-1
amd-ucode 20241111.b5885ec5-1
arandr 0.1.11-3
arc-gtk-theme-eos 20221218-2
archlinux-xdg-menu 0.7.6.6-2
ark 24.08.3-1
aspell 0.60.8.1-2
awesome 4.3-4
awesome-terminal-fonts 1.1.0-5
b43-fwcutter 019-5
base 3-2
base-devel 1-2
bash-completion 2.14.0-2
bat 0.24.0-2
bc 1.07.1-5
betterlockscreen 4.4.0-1
bind 9.20.3-2
bitwarden 2024.10.2-1
bitwig-studio 5.2.5-1
blueman 2.4.3-1
bluez 5.79-1
bluez-utils 5.79-1
brightnessctl 0.5.1-3
btop 1.4.0-4
btrfs-progs 6.11-1
cantarell-fonts 1:0.303.1-2
chromium 131.0.6778.69-1
cmus 2.12.0-1
cryptsetup 2.7.5-1
device-mapper 2.03.28-1
dex 0.9.0-2
diffutils 3.10-1
discord 0.0.74-1
dmenu 5.3-3
dmidecode 3.6-1
dmraid 1.0.0.rc16.3-15
dnsmasq 2.90-1
docker 1:27.3.1-1
docker-buildx 0.18.0-1
docker-compose 2.30.3-1
dolphin 24.08.3-1
dosfstools 4.2-5
downgrade 11.4.2-1
dracut 105-1
duf 0.8.1-3
dunst 1.11.0-1
e2fsprogs 1.47.1-4
efibootmgr 18-3
efitools 1.9.2-5
egl-wayland 4:1.1.16-1
elisa 24.08.3-1
endeavouros-keyring 20231222-1
endeavouros-mirrorlist 24.10-1
endeavouros-theming 24.06.1.1-1
endeavouros-xfce4-terminal-colors 5-1
eos-apps-info 24.8.2-1
eos-hooks 1.16-1
eos-lightdm-slick-theme 3.2-1
eos-log-tool 24.8.1-1
eos-packagelist 2.3.1-1
eos-qogir-icons 5-1
eos-quickstart 1.4.1-1
eos-rankmirrors 24.9.2-1
eos-settings-i3wm 3.2-1
ethtool 1:6.9-1
exfatprogs 1.2.5-1
extra-cmake-modules 6.8.0-1
eza 0.20.8-1
f2fs-tools 1.16.0-3
fastfetch 2.29.0-1
feh 3.10.3-1
ffmpegthumbnailer 2.2.3-3
firefox 132.0.2-1
firefox-pwa-bin 2.13.1-1
firewalld 2.3.0-1
flatpak 1:1.15.10-1
galculator 2.1.4-10
git 2.47.0-1
glances 4.2.1-1
go 2:1.23.3-1
godot 4.3-5
golangci-lint 1.62.0-1
gopls 0.16.2-1
gparted 1.6.0-2
gst-libav 1.24.9-3
gst-plugin-pipewire 1:1.2.6-1
gst-plugins-bad 1.24.9-3
gst-plugins-ugly 1.24.9-3
gvfs 1.56.1-1
gvfs-afc 1.56.1-1
gvfs-gphoto2 1.56.1-1
gvfs-mtp 1.56.1-1
gvfs-nfs 1.56.1-1
gvfs-smb 1.56.1-1
haveged 1.9.19-1
hdparm 9.65-2
helix 24.07-2
hlint 3.4.1-30
hosts 3.6.4-1
htop 3.3.0-3
hwdetect 2024.07.29.0933-1
hwinfo 23.3-1
i3-wm 4.24-1
i3blocks 1.5-4
i3status 2.15-1
inetutils 2.5-1
intel-media-driver 24.4.2-1
inxi 3.3.36.1-1
iptables-nft 1:1.8.10-2
iwd 3.1-1
jfsutils 1.1.15-9
jq 1.7.1-2
kanata 1.6.1-2
kdeconnect 24.08.3-1
kernel-install-for-dracut 1.10.1-1
kubectl 1.31.2-1
kubectx 0.9.5-1
lazygit 0.44.1-1
less 1:661-1
